Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type
18.7,0.0,256.6672,2009,3068.0064,FDP33,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2
17.85,0.0,93.1436,2002,2174.5028,FDO23,Low Fat,Breads,OUT045,Medium,Tier 2,Supermarket Type1
17.5,0.097904029,174.8738,1997,2085.2856,DRH01,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type1
10.0,0.089291137,146.7102,1999,3791.0652,NCX29,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type1
12.857645184135976,0.059511812,128.0678,1985,2797.6916,FDV20,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3
8.85,0.113123893,122.5388,2009,1609.9044,DRZ11,Regular,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2
12.857645184135976,0.123111453,36.9874,1985,388.1614,FDX10,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3
12.857645184135976,0.026480954,87.6198,1985,2180.495,FDB34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3
13.35,0.102511504,230.6352,1997,3435.528,FDU02,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type1
9.8,0.02681843,126.002,1987,2150.534,FDK43,Low Fat,Meat,OUT013,High,Tier 3,Supermarket Type1
13.6,0.117818348,192.9136,1999,2527.3768,FDA46,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1
21.35,0.069102831,259.9278,2009,6768.5228,FDC02,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2
12.15,0.042277867,126.5046,1987,373.5138,FDL50,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1
6.42,0.089498926,178.1002,1998,358.2004,FDM39,Low Fat,Dairy,OUT010,Medium,Tier 3,Grocery Store
19.6,0.0,153.3024,2002,2428.8384,NCP05,Low Fat,Health and Hygiene,OUT045,Medium,Tier 2,Supermarket Type1
10.0,0.025879577,265.2226,2002,5815.0972,FDV49,Low Fat,Canned,OUT045,Medium,Tier 2,Supermarket Type1
15.85,0.121632721,60.622,1997,2576.646,FDL12,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1
12.857645184135976,0.255394896,196.8794,1985,780.3176,FDS02,Regular,Dairy,OUT019,Small,Tier 1,Grocery Store
7.39,0.067779712,143.8812,1997,3134.5864,NCL17,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type1
10.195,0.159803853,141.5154,1987,850.8924,FDM40,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1
9.895,0.028696932,117.0492,1987,810.9444,FDR13,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1
10.895,0.065041581,196.3794,2007,3121.2704,FDA43,Low Fat,Fruits and Vegetables,OUT017,Medium,Tier 2,Supermarket Type1
12.15,0.028760013,151.4708,2007,4815.0656,NCP18,Low Fat,Household,OUT017,Medium,Tier 2,Supermarket Type1
7.905,0.010053105,249.0408,2009,6258.52,FDK21,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2
9.195,0.048157338,106.1622,2002,2117.244,NCX54,Low Fat,Household,OUT045,Medium,Tier 2,Supermarket Type1
8.365,0.071958197,38.0506,1999,796.9626,DRK35,Low Fat,Hard Drinks,OUT049,Medium,Tier 1,Supermarket Type1
15.1,0.173481304,194.511,1997,4910.275,FDY21,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1
12.857645184135976,0.061082177,180.0344,1985,892.172,FDI26,Low Fat,Canned,OUT019,Small,Tier 1,Grocery Store
10.0,0.0,246.9144,2009,3185.1872,FDM20,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2
7.97,0.040071131,87.3514,2002,1062.6168,FDV27,Regular,Meat,OUT045,Medium,Tier 2,Supermarket Type1
12.857645184135976,0.012090074,38.2848,1985,484.7024,FDF09,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3
12.857645184135976,0.15028599,51.0692,1985,147.8076,FDY40,Regular,Frozen Foods,OUT019,Small,Tier 1,Grocery Store
12.857645184135976,0.026015519,255.8356,1985,2543.356,FDY45,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3
17.7,0.195068226,185.4266,1998,184.4266,FDC46,Low Fat,Snack Foods,OUT010,Medium,Tier 3,Grocery Store
19.35,0.033082215,172.5738,2004,4865.6664,FDH19,Low Fat,Meat,OUT035,Small,Tier 2,Supermarket Type1
13.65,0.078946455,186.024,2002,1118.544,FDZ03,Regular,Dairy,OUT045,Medium,Tier 2,Supermarket Type1
17.6,0.041700756,164.8526,2002,2302.3364,DRH37,Low Fat,Soft Drinks,OUT045,Medium,Tier 2,Supermarket Type1
8.645,0.143422643,95.841,1997,2027.361,NCI17,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type1
15.6,0.105296072,170.1764,1997,3435.528,FDJ58,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1
15.85,0.121531501,59.222,1987,599.22,FDL12,Regular,Baking Goods,OUT013,High,Tier 3,Supermarket Type1
18.25,0.0,164.7526,2002,4604.6728,FDH35,Low Fat,Starchy Foods,OUT045,Medium,Tier 2,Supermarket Type1
7.855,0.011324862,189.6188,2007,2285.0256,FDG02,Low Fat,Canned,OUT017,Medium,Tier 2,Supermarket Type1
7.825,0.186357148,254.3698,1999,5580.7356,NCZ18,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1
8.39,0.024205661,114.0176,1997,2290.352,FDC29,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1
12.85,0.033230816,172.3422,1999,1207.0954,FDQ10,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1
12.857645184135976,0.113720344,89.9804,1985,643.1628,FDN48,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store
19.0,0.112556507,104.9622,2007,1587.933,FDL04,Low Fat,Frozen Foods,OUT017,Medium,Tier 2,Supermarket Type1
5.905,0.0,222.5456,2002,5305.0944,FDV25,Low Fat,Canned,OUT045,Medium,Tier 2,Supermarket Type1
7.76,0.059352241,101.87,1997,1697.79,FDD58,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1
11.8,0.014087057,180.3344,1997,1427.4752,FDN04,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1
16.75,0.045230944,187.9556,2009,4693.89,FDV45,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2
12.857645184135976,0.293417759,194.6136,1985,583.2408,NCL18,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store
12.857645184135976,0.031382044,171.3764,1985,3091.9752,FDR12,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3
15.5,0.12639886,177.0028,2007,2479.4392,FDG20,Regular,Fruits and Vegetables,OUT017,Medium,Tier 2,Supermarket Type1
6.055,0.025403898,160.992,2004,2716.464,FDZ55,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1
12.857645184135976,0.039057677,155.963,1985,3285.723,FDQ49,Regular,Breakfast,OUT027,Medium,Tier 3,Supermarket Type3
6.305,0.123115764,95.6436,1997,661.8052,FDN33,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1
20.85,0.039624006,117.2808,1999,1523.3504,FDN27,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type1
20.75,0.040421193,122.173,1998,369.519,FDW20,Low Fat,Fruits and Vegetables,OUT010,Medium,Tier 3,Grocery Store
8.895,0.105274111,39.9138,1999,690.4346,DRG27,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1
19.6,0.033970195,55.1614,2002,1381.535,DRI25,Low Fat,Soft Drinks,OUT045,Medium,Tier 2,Supermarket Type1
19.7,0.053212652,57.893,2004,622.523,FDA44,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1
9.8,0.024378706,114.5492,2004,1274.3412,NCR17,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1
12.857645184135976,0.009714595,120.0414,1985,487.3656,FDU04,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store
12.15,0.131383762,246.046,1999,1231.73,FDF41,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1
8.75,0.07461309,187.4556,2004,3755.112,FDB56,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1
12.857645184135976,0.028459761,149.9708,1985,4363.6532,NCP18,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3
8.75,0.074627201,187.8556,1997,1314.2892,FDB56,Regular,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1
13.3,0.063695084,151.0708,2002,1805.6496,FDT28,Low Fat,Frozen Foods,OUT045,Medium,Tier 2,Supermarket Type1
12.857645184135976,0.045797829,178.5344,1985,2854.9504,FDD10,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3
8.31,0.115857223,179.1028,1999,3896.2616,FDW57,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1
16.75,0.024832806,38.7822,1987,667.7974,DRB48,Regular,Soft Drinks,OUT013,High,Tier 3,Supermarket Type1
19.75,0.034027909,212.0902,2009,3185.853,FDP09,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2
17.1,0.0467696,141.1838,1987,2247.7408,FDH14,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1
10.5,0.116576702,163.121,1987,1794.331,FDA47,Regular,Baking Goods,OUT013,High,Tier 3,Supermarket Type1
6.635,0.0,121.3098,2002,2530.7058,FDG12,Regular,Baking Goods,OUT045,Medium,Tier 2,Supermarket Type1
12.857645184135976,0.278974075,225.372,1985,679.116,DRE60,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store
14.15,0.035913805,41.4138,1987,812.276,DRK49,Low Fat,Soft Drinks,OUT013,High,Tier 3,Supermarket Type1
13.3,0.079806266,232.53,1997,699.09,FDD03,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type1
8.89,0.005505481,102.4016,2007,2732.4432,FDS52,Low Fat,Frozen Foods,OUT017,Medium,Tier 2,Supermarket Type1
12.857645184135976,0.064625342,176.937,1985,176.437,FDW39,Regular,Meat,OUT019,Small,Tier 1,Grocery Store
12.857645184135976,0.071636937,121.7098,1985,4097.3332,FDX34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3
9.1,0.0,173.2054,2002,3151.8972,FDV11,Regular,Breads,OUT045,Medium,Tier 2,Supermarket Type1
7.5,0.032677678,239.0906,1999,5942.265,FDD17,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1
16.85,0.160760054,192.4478,2007,4843.695,FDZ16,Regular,Frozen Foods,OUT017,Medium,Tier 2,Supermarket Type1
7.485,0.06911065,109.0228,2004,2542.0244,FDZ46,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1
11.6,0.041177505,140.3154,2007,2552.6772,DRA12,Low Fat,Soft Drinks,OUT017,Medium,Tier 2,Supermarket Type1
11.65,0.040081193,227.0694,2009,1141.847,FDY58,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2
13.0,0.035307322,47.5034,2007,680.4476,NCF19,Low Fat,Household,OUT017,Medium,Tier 2,Supermarket Type1
12.65,0.063017847,159.0578,2002,2085.9514,DRJ13,Low Fat,Soft Drinks,OUT045,Medium,Tier 2,Supermarket Type1
20.25,0.171938781,92.512,1998,186.424,FDB14,Regular,Canned,OUT010,Medium,Tier 3,Grocery Store
8.6,0.040197932,190.153,2004,3036.048,FDJ38,Regular,Canned,OUT035,Small,Tier 2,Supermarket Type1
12.6,0.049058014,62.7194,2007,866.8716,FDW11,Low Fat,Breads,OUT017,Medium,Tier 2,Supermarket Type1
17.7,0.01161096,95.041,2004,868.869,FDL40,Low Fat,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1
14.15,0.183507295,82.4276,1997,1137.1864,DRI49,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type1
19.25,0.102349519,52.7956,2007,928.1252,FDV38,Low Fat,Dairy,OUT017,Medium,Tier 2,Supermarket Type1
8.88,0.086708987,151.7682,1987,762.341,DRG23,Low Fat,Hard Drinks,OUT013,High,Tier 3,Supermarket Type1
20.5,0.032835147,40.2822,2002,707.0796,NCP30,Low Fat,Household,OUT045,Medium,Tier 2,Supermarket Type1
12.857645184135976,0.033809913,180.5976,1985,7968.2944,FDY25,Low Fat,Canned,OUT027,Medium,Tier 3,Supermarket Type3
13.5,0.07266912,160.292,1997,1438.128,NCH54,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1
12.857645184135976,0.144338493,224.4404,1985,6976.2524,NCR53,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3
8.89,0.009163216,101.7016,1998,101.2016,FDS52,Low Fat,Frozen Foods,OUT010,Medium,Tier 3,Grocery Store
7.855,0.011307038,188.5188,2009,952.094,FDG02,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2
7.235,0.076855628,116.0492,1997,1969.4364,NCO26,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1
12.857645184135976,0.059956876,165.4526,1985,5262.4832,FDH35,Low Fat,Starchy Foods,OUT027,Medium,Tier 3,Supermarket Type3
6.92,0.038532062,60.5852,2002,1314.2892,FDB51,Low Fat,Dairy,OUT045,Medium,Tier 2,Supermarket Type1
9.3,0.043209581,90.8172,2007,535.3032,FDX44,Low Fat,Fruits and Vegetables,OUT017,Medium,Tier 2,Supermarket Type1
18.5,0.056816465,132.1284,1998,263.6568,NCN07,Low Fat,Others,OUT010,Medium,Tier 3,Grocery Store
8.02,0.019866705,154.5972,2004,1402.1748,NCC31,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1
9.195,0.048331717,105.1622,2007,1693.7952,NCX54,Low Fat,Household,OUT017,Medium,Tier 2,Supermarket Type1
12.8,0.091221855,105.5938,2002,2143.876,NCO55,Low Fat,Others,OUT045,Medium,Tier 2,Supermarket Type1
16.6,0.027622076,177.6344,1999,2676.516,NCC30,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1
14.0,0.0,53.064,2004,905.488,FDI16,Regular,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1
18.6,0.039355947,246.3802,1999,7370.406,FDP16,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1
16.0,0.060836524,226.8404,2004,6301.1312,FDB11,Low Fat,Starchy Foods,OUT035,Small,Tier 2,Supermarket Type1
17.6,0.082316506,160.692,2004,1597.92,NCB06,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1
21.25,0.155350299,178.237,2004,529.311,FDA45,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1
7.235,0.076841095,117.5492,2004,1969.4364,NCO26,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1
14.6,0.151419185,50.3692,2007,1034.6532,DRJ25,Low Fat,Soft Drinks,OUT017,Medium,Tier 2,Supermarket Type1
13.85,0.026001976,161.521,2009,1794.331,FDR28,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2
13.65,0.073209447,197.6426,2009,2768.3964,FDI04,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2
12.857645184135976,0.041683481,31.29,1985,898.83,DRK12,Low Fat,Soft Drinks,OUT027,Medium,Tier 3,Supermarket Type3
7.365,0.042560252,226.172,1997,3169.208,FDX20,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1
18.35,0.014081156,223.5746,2009,3589.9936,NCI18,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2
5.465,0.0,132.5626,2009,262.3252,FDB36,Regular,Baking Goods,OUT018,Medium,Tier 3,Supermarket Type2
18.6,0.152918384,99.8358,2007,1910.1802,FDN13,Low Fat,Breakfast,OUT017,Medium,Tier 2,Supermarket Type1
13.85,0.030969274,140.9154,2007,1701.7848,DRD24,Low Fat,Soft Drinks,OUT017,Medium,Tier 2,Supermarket Type1
14.0,0.060376776,154.5656,1987,2471.4496,FDQ28,Regular,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1
14.0,0.04192285,54.764,1987,1331.6,FDM22,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1
12.857645184135976,0.077367431,97.0094,1985,1808.9786,FDR07,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3
5.905,0.045838211,222.5456,2009,3315.684,FDV25,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2
7.27,0.071077939,114.2518,1997,2618.5914,DRF49,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type1
6.155,0.094659871,214.556,1997,2769.728,FDW51,Regular,Meat,OUT046,Small,Tier 1,Supermarket Type1
19.5,0.077608838,233.4958,2007,5375.0034,DRL01,Regular,Soft Drinks,OUT017,Medium,Tier 2,Supermarket Type1
15.2,0.021327477,216.8824,2007,2838.9712,FDP25,Low Fat,Canned,OUT017,Medium,Tier 2,Supermarket Type1
12.15,0.042485444,125.0046,2009,1743.0644,FDL50,Regular,Canned,OUT018,Medium,Tier 3,Supermarket Type2
12.857645184135976,0.025578526,198.8084,1985,5555.4352,NCB30,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3
12.6,0.0489808,61.9194,2009,619.194,FDW11,Low Fat,Breads,OUT018,Medium,Tier 3,Supermarket Type2
14.5,0.019471688,164.821,2004,2120.573,NCM43,Low Fat,Others,OUT035,Small,Tier 2,Supermarket Type1
16.6,0.122918852,173.0738,2007,3823.0236,FDK44,Low Fat,Fruits and Vegetables,OUT017,Medium,Tier 2,Supermarket Type1
11.8,0.057373797,151.4366,1987,1360.2294,FDM15,Regular,Meat,OUT013,High,Tier 3,Supermarket Type1
13.1,0.044155597,178.8318,1987,3969.4996,FDS31,Regular,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1
17.7,0.291865402,115.1834,1998,345.5502,FDI32,Low Fat,Fruits and Vegetables,OUT010,Medium,Tier 3,Grocery Store
17.85,0.0,196.5794,1998,585.2382,FDR47,Low Fat,Breads,OUT010,Medium,Tier 3,Grocery Store
12.3,0.064750025,92.6804,2002,1010.6844,FDB35,Regular,Starchy Foods,OUT045,Medium,Tier 2,Supermarket Type1
11.8,0.098312421,81.4618,1998,161.1236,NCU05,Low Fat,Health and Hygiene,OUT010,Medium,Tier 3,Grocery Store
12.857645184135976,0.191013663,42.1112,1985,42.6112,DRY23,Regular,Soft Drinks,OUT019,Small,Tier 1,Grocery Store
11.1,0.176573035,157.4604,2002,3010.7476,FDO24,Low Fat,Baking Goods,OUT045,Medium,Tier 2,Supermarket Type1
12.857645184135976,0.060134441,153.0656,1985,6024.1584,FDQ28,Regular,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3
11.3,0.007294652,198.1426,2002,988.713,FDV39,Low Fat,Meat,OUT045,Medium,Tier 2,Supermarket Type1
12.857645184135976,0.128478462,117.944,1985,239.688,NCO17,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store
5.75,0.075107656,112.8176,1987,1374.2112,FDU50,Regular,Dairy,OUT013,High,Tier 3,Supermarket Type1
12.857645184135976,0.049381406,226.8062,1985,4739.8302,FDT12,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3
11.35,0.045165796,100.0016,2009,1012.016,FDK58,Regular,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2
12.857645184135976,0.09415375,165.7526,1985,657.8104,FDO08,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store
14.0,0.028907832,130.431,1999,778.986,NCW29,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type1
19.75,0.018059621,179.766,2002,2336.958,FDE04,Regular,Frozen Foods,OUT045,Medium,Tier 2,Supermarket Type1
6.525,0.090436094,85.0882,1999,2233.0932,NCB19,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1
10.3,0.146399712,103.9648,1999,1661.8368,FDV15,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type1
5.78,0.074264356,264.7568,1999,4745.8224,FDL58,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1
11.85,0.050186726,164.1526,2002,3124.5994,FDA08,Regular,Fruits and Vegetables,OUT045,Medium,Tier 2,Supermarket Type1
16.35,0.020631654,50.1324,2009,467.3916,FDT43,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2
12.857645184135976,0.01561108,182.5976,1985,5070.7328,NCX06,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3
10.5,0.041395445,37.6164,1997,540.6296,FDT20,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1
19.0,0.097313129,48.0718,1997,992.7078,FDB41,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1
14.6,0.059582996,238.8538,1999,6008.845,NCN55,Low Fat,Others,OUT049,Medium,Tier 1,Supermarket Type1
12.857645184135976,0.098663652,62.9194,1985,2105.2596,FDE40,Regular,Dairy,OUT027,Medium,Tier 3,Supermarket Type3
12.857645184135976,0.101338651,232.63,1985,5359.69,FDX49,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3
18.75,0.052146456,104.628,2002,745.696,NCM53,Low Fat,Health and Hygiene,OUT045,Medium,Tier 2,Supermarket Type1
5.26,0.041764487,161.8868,2004,3275.736,FDE36,Regular,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1
18.25,0.054344186,140.2154,2002,1701.7848,FDN57,Low Fat,Snack Foods,OUT045,Medium,Tier 2,Supermarket Type1
12.857645184135976,0.078362484,177.937,1985,6704.606,FDI24,Low Fat,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3
15.1,0.052339069,242.7512,1997,4119.9704,FDI19,Low Fat,Meat,OUT046,Small,Tier 1,Supermarket Type1
15.5,0.042464962,81.5934,1998,327.5736,FDF24,Regular,Baking Goods,OUT010,Medium,Tier 3,Grocery Store
13.65,0.065732883,45.7402,1999,780.9834,FDG52,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1
16.1,0.023625114,189.3846,2002,3630.6074,DRF36,Low Fat,Soft Drinks,OUT045,Medium,Tier 2,Supermarket Type1
12.857645184135976,0.051643608,107.3622,1985,317.5866,FDS45,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store
12.85,0.165694219,39.7164,1998,231.6984,FDX40,Low Fat,Frozen Foods,OUT010,Medium,Tier 3,Grocery Store
9.5,0.041878397,32.99,2004,133.16,DRK12,Low Fat,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1
13.8,0.058091482,245.1802,2004,5650.6446,DRC27,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1
5.78,0.0,263.7568,2007,2636.568,FDL58,Regular,Snack Foods,OUT017,Medium,Tier 2,Supermarket Type1
19.7,0.026903714,96.0726,2002,1272.3438,NCD30,Low Fat,Household,OUT045,Medium,Tier 2,Supermarket Type1
14.65,0.0,161.5552,1998,324.9104,NCZ54,Low Fat,Household,OUT010,Medium,Tier 3,Grocery Store
